voteid,question,source,rank,rating,time,user_id,code
1,2,1,1,1,2017-04-05 20:14:06.220328,12,"public int getTax(String persType){
  
}"
2,2,0,3,1,2017-04-05 20:15:27.922972,12,"public int getTax(String persType){
  if(persType.equals(""emp"")){
    
  }
}"
3,2,0,4,2,2017-04-05 20:17:29.545164,12,"public int getTax(String persType){
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }elseif(persT)
}"
4,1,0,5,1,2017-04-05 20:18:07.790722,19,"int largestDifference(int[] array)
{
  
}"
5,1,1,3,2,2017-04-05 20:18:15.084235,19,"int largestDifference(int[] array)
{
  
}"
6,1,0,4,1,2017-04-05 20:18:16.275258,19,"int largestDifference(int[] array)
{
  
}"
7,1,1,4,1,2017-04-05 20:18:17.771526,19,"int largestDifference(int[] array)
{
  
}"
8,1,1,1,1,2017-04-05 20:18:20.339583,19,"int largestDifference(int[] array)
{
  
}"
9,1,1,2,1,2017-04-05 20:18:21.563422,19,"int largestDifference(int[] array)
{
  
}"
10,2,0,4,1,2017-04-05 20:18:23.820906,18,"public int getTax (String type)
{
  // returns different percentage of tax based on type of person
}"
11,1,1,5,1,2017-04-05 20:18:25.202883,19,"int largestDifference(int[] array)
{
  
}"
12,1,0,1,1,2017-04-05 20:18:25.586401,17,"public int largestDiff(int[] x)
{
 int largest = int[0]
 int smallest = int[0];
 for(int y = 1; y < x.length; y++)
  {
   if(x[y] > largest)
    {
     largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
   if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
13,1,0,2,4,2017-04-05 20:18:30.579169,19,"int largestDifference(int[] array)
{
  
}"
14,2,1,4,3,2017-04-05 20:18:46.222552,18,"public int getTax (String type)
{
  // returns different percentage of tax based on type of person
}"
15,1,1,4,5,2017-04-05 20:18:47.038067,5,"public static int nu(int array[]){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
16,1,1,4,1,2017-04-05 20:18:50.017075,17,"public int largestDiff(int[] x)
{
 int largest = int[0]
 int smallest = int[0];
 for(int y = 1; y < x.length; y++)
  {
   if(x[y] > largest)
    {
     largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
   if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
17,1,0,2,5,2017-04-05 20:19:24.039695,5,"public static int nu(int array[]){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
18,1,0,1,1,2017-04-05 20:19:27.361382,19,"int largestDifference(int[] values)
{
  int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
}"
